setting,parameter,parameter_value,router_advantage,cost_difference,quality_difference,significance,conclusion_changed,status,n,p_raw,p_adjusted,effect_size,router_quality,router_cost,claim_reversed
router_overhead,overhead_usd,0.0001,-0.05494505494505497,0.0007730655769230769,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0008877658516483516,false
router_overhead,overhead_usd,0.001,-0.05494505494505497,0.0016730655769230769,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0017877658516483516,false
router_overhead,overhead_usd,0.01,-0.05494505494505497,0.010673065576923078,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.010787765851648352,false
latency_penalty,usd_per_second,0.0,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
latency_penalty,usd_per_second,1e-05,-0.05494505494505497,0.0009709004670329669,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0011497328846153845,false
latency_penalty,usd_per_second,0.0001,-0.05494505494505497,0.0036514144780219783,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.004407436181318681,false
latency_penalty,usd_per_second,0.001,-0.05494505494505497,0.03409390596153847,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.036984469148351656,false
latency_penalty,usd_per_second,0.01,-0.05494505494505497,0.34958915321428574,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.36275479881868133,false
quality_threshold,min_max_quality,0.0,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false,dominated,364,0.005,0.005367647058823529,-0.194726360333802,0.8681318681318682,0.0007877658516483516,false
quality_threshold,min_max_quality,1.0,-0.05698005698005704,0.0006463362108262108,-0.05698005698005704,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1984,false,dominated,351,0.005,0.005367647058823529,-0.19842927103428645,0.9002849002849003,0.0007612165527065527,false
