SIMULATED,policy,policy_type,factor,factor_value,arrivals_process,n_completed,throughput_per_s,queue_delay_mean_s,end_to_end_mean_s,p50_latency_s,p95_latency_s,p99_latency_s,cold_start_count,cold_start_rate,requests_per_instance_mean,cost_per_request,total_realized_inference_cost,sla_violation_rate
True,always_cheap,always_cheap,serverless.cold_start_delay_s,10.0,poisson,64,0.21141213395816913,32.55135174983029,40.56307049983029,38.13354950117457,61.83753177313726,84.24013843727037,2,0.03125,32.0,0.00013559375,0.008678,0.75
True,always_strong,always_strong,serverless.cold_start_delay_s,10.0,poisson,64,0.38142361694616994,1.160307842067849,3.5062453420678494,1.8600000000000136,10.879999999999995,11.478585707809836,8,0.125,8.0,0.00168234375,0.10767,0.0
True,ecologic,ecologic,serverless.cold_start_delay_s,10.0,poisson,64,0.0491163023521066,386.7817238524885,429.4215676024885,378.1166624092829,1105.09087159121,1116.7692044750975,9,0.140625,7.111111111111111,0.000865536875,0.05539436,0.78125
True,cost_matched_static,cost_matched_static,serverless.cold_start_delay_s,10.0,poisson,64,0.22665628677973865,3.6507218056678035,11.222753055667802,10.439999999999998,19.642742963674664,22.257079996302053,17,0.265625,3.764705882352941,0.00064416171875,0.04122635,0.015625
True,oracle,oracle,serverless.cold_start_delay_s,10.0,poisson,64,0.2918153933749988,9.231118732147246,16.346743732147246,13.079999999999998,35.014177701095306,37.79087863444768,8,0.125,8.0,0.00014296421875,0.00914971,0.140625
True,always_cheap,always_cheap,serverless.max_concurrency_per_instance,2,poisson,64,0.23770901629732114,1.314772387248283,9.201491137248283,5.67604919797926,19.772532288118185,74.80858570780983,4,0.0625,16.0,0.00013559375,0.008678,0.03125
True,always_strong,always_strong,serverless.max_concurrency_per_instance,2,poisson,64,0.38881658138711817,0.05981525847444006,1.5307527584744405,1.0200000000000102,4.03,4.399999999999999,8,0.125,8.0,0.00168234375,0.10767,0.0
True,ecologic,ecologic,serverless.max_concurrency_per_instance,2,poisson,64,0.08768087953166787,128.27217789426984,169.88077164426983,122.20032533738397,408.85439395865524,557.5098045312224,8,0.125,8.0,0.000865536875,0.05539436,0.6875
True,cost_matched_static,cost_matched_static,serverless.max_concurrency_per_instance,2,poisson,64,0.23770901629732114,0.12100908354922446,5.833665333549224,4.189999999999998,8.879999999999995,11.780000000000001,17,0.265625,3.764705882352941,0.00064416171875,0.04122635,0.015625
True,oracle,oracle,serverless.max_concurrency_per_instance,2,poisson,64,0.3014364330470337,0.39636338562780293,6.730738385627802,5.632465461510478,16.93144499724248,24.87,10,0.15625,6.4,0.00014296421875,0.00914971,0.015625
True,always_cheap,always_cheap,serverless.max_instances,1,poisson,64,0.12873993584754717,145.0096416943453,152.7557354443453,173.19171627674547,214.29826088591707,330.51543170662785,1,0.015625,64.0,0.00013559375,0.008678,0.953125
True,always_strong,always_strong,serverless.max_instances,1,poisson,64,0.38881658138711817,0.8492760850824902,2.0858385850824908,1.7201558640093992,5.269999999999996,5.970138437270375,3,0.046875,21.333333333333332,0.00168234375,0.10767,0.0
True,ecologic,ecologic,serverless.max_instances,1,poisson,64,0.024955730502362373,871.7016156670267,913.2164594170267,981.6666706690626,2336.6532608859184,2392.0704317066293,6,0.09375,10.666666666666666,0.000865536875,0.05539436,0.78125
True,cost_matched_static,cost_matched_static,serverless.max_instances,1,poisson,64,0.2084446994387493,9.432721960204528,14.676628210204528,9.863286567967771,33.85343005632103,39.167894526229816,7,0.109375,9.142857142857142,0.00064416171875,0.04122635,0.078125
True,oracle,oracle,serverless.max_instances,1,poisson,64,0.20692136572679035,64.57185363145534,70.71872863145535,87.30397466966208,133.09314932235114,142.685431706628,6,0.09375,10.666666666666666,0.00014296421875,0.00914971,0.671875
True,always_cheap,always_cheap,policies.ecologic.router_overhead_s,0.0,poisson,64,0.21641637351181517,25.770101749830282,33.56307049983028,31.133549501174542,54.83753177313726,77.24013843727037,2,0.03125,32.0,0.00013559375,0.008678,0.5
True,always_strong,always_strong,policies.ecologic.router_overhead_s,0.0,poisson,64,0.38881658138711817,0.231673108796912,1.7963606087969124,1.0499999999999972,4.956776508675134,5.349999999999994,10,0.15625,6.4,0.00168234375,0.10767,0.0
True,ecologic,ecologic,policies.ecologic.router_overhead_s,0.0,poisson,64,0.04938177545756713,381.42234885248854,423.1665676024885,371.1116624092829,1098.0858715912102,1109.7642044750976,11,0.171875,5.818181818181818,0.000865536875,0.05539436,0.765625
True,cost_matched_static,cost_matched_static,policies.ecologic.router_overhead_s,0.0,poisson,64,0.2322153574648269,1.2441380703112963,6.956794320311295,5.029999999999999,12.922782962663774,15.497441628068486,17,0.265625,3.764705882352941,0.00064416171875,0.04122635,0.015625
True,oracle,oracle,policies.ecologic.router_overhead_s,0.0,poisson,64,0.3014364330470337,8.408352596557158,14.648977596557158,11.69029769941282,35.014177701095306,37.17804329212312,8,0.125,8.0,0.00014296421875,0.00914971,0.125
True,always_cheap,always_cheap,policies.ecologic.router_overhead_s,0.05,poisson,64,0.21641637351181517,25.770101749830282,33.56307049983028,31.133549501174542,54.83753177313726,77.24013843727037,2,0.03125,32.0,0.00013559375,0.008678,0.5
True,always_strong,always_strong,policies.ecologic.router_overhead_s,0.05,poisson,64,0.38881658138711817,0.231673108796912,1.7963606087969124,1.0499999999999972,4.956776508675134,5.349999999999994,10,0.15625,6.4,0.00168234375,0.10767,0.0
True,ecologic,ecologic,policies.ecologic.router_overhead_s,0.05,poisson,64,0.049379870406260476,381.42234885248854,423.2165676024885,371.161662409283,1098.1358715912102,1109.8142044750975,11,0.171875,5.818181818181818,0.000865536875,0.05539436,0.765625
True,cost_matched_static,cost_matched_static,policies.ecologic.router_overhead_s,0.05,poisson,64,0.2322153574648269,1.2441380703112963,6.956794320311295,5.029999999999999,12.922782962663774,15.497441628068486,17,0.265625,3.764705882352941,0.00064416171875,0.04122635,0.015625
True,oracle,oracle,policies.ecologic.router_overhead_s,0.05,poisson,64,0.3014364330470337,8.408352596557158,14.648977596557158,11.69029769941282,35.014177701095306,37.17804329212312,8,0.125,8.0,0.00014296421875,0.00914971,0.125
