tier,latency_s,cdf
1,192.12,0.9395604395604396
1,192.36,0.9423076923076923
1,192.41,0.945054945054945
1,193.39,0.9478021978021978
1,194.44,0.9505494505494505
1,194.63,0.9532967032967034
1,195.83,0.9560439560439561
1,196.94,0.9587912087912088
1,196.97,0.9615384615384616
1,199.09,0.9642857142857143
1,199.25,0.967032967032967
1,200.61,0.9697802197802198
1,200.68,0.9725274725274725
1,201.25,0.9752747252747253
1,201.58,0.978021978021978
1,202.22,0.9807692307692307
1,211.47,0.9835164835164835
1,212.65,0.9862637362637363
1,221.03,0.989010989010989
1,224.04,0.9917582417582418
1,230.3,0.9945054945054945
1,260.97,0.9972527472527473
1,268.88,1.0
2,0.53,0.0027472527472527475
2,0.55,0.005494505494505495
2,0.59,0.008241758241758242
2,0.6,0.01098901098901099
2,0.65,0.013736263736263736
2,0.76,0.016483516483516484
2,0.83,0.019230769230769232
2,0.83,0.02197802197802198
2,0.84,0.024725274725274724
2,0.88,0.027472527472527472
2,1.0,0.03021978021978022
2,1.06,0.03296703296703297
2,1.09,0.03571428571428571
2,1.17,0.038461538461538464
2,1.19,0.04120879120879121
2,1.19,0.04395604395604396
2,1.22,0.046703296703296704
2,1.25,0.04945054945054945
2,1.28,0.0521978021978022
2,1.33,0.054945054945054944
2,1.34,0.057692307692307696
2,1.45,0.06043956043956044
2,1.48,0.06318681318681318
2,1.51,0.06593406593406594
2,1.52,0.06868131868131869
2,1.54,0.07142857142857142
2,1.54,0.07417582417582418
2,1.55,0.07692307692307693
2,1.63,0.07967032967032966
2,1.67,0.08241758241758242
2,1.68,0.08516483516483517
2,1.69,0.08791208791208792
2,1.72,0.09065934065934066
2,1.74,0.09340659340659341
2,1.74,0.09615384615384616
2,1.75,0.0989010989010989
2,1.75,0.10164835164835165
2,1.8,0.1043956043956044
2,1.81,0.10714285714285714
2,1.83,0.10989010989010989
2,1.85,0.11263736263736264
2,1.88,0.11538461538461539
2,1.9,0.11813186813186813
2,1.91,0.12087912087912088
2,1.92,0.12362637362637363
2,1.94,0.12637362637362637
2,1.94,0.12912087912087913
2,1.95,0.13186813186813187
2,1.97,0.1346153846153846
2,1.98,0.13736263736263737
2,2.01,0.1401098901098901
2,2.02,0.14285714285714285
2,2.02,0.14560439560439561
2,2.03,0.14835164835164835
2,2.04,0.1510989010989011
2,2.04,0.15384615384615385
2,2.09,0.1565934065934066
2,2.13,0.15934065934065933
2,2.15,0.1620879120879121
2,2.16,0.16483516483516483
2,2.18,0.16758241758241757
2,2.2,0.17032967032967034
2,2.21,0.17307692307692307
2,2.21,0.17582417582417584
2,2.22,0.17857142857142858
2,2.24,0.1813186813186813
2,2.26,0.18406593406593408
2,2.34,0.18681318681318682
2,2.35,0.18956043956043955
2,2.36,0.19230769230769232
2,2.36,0.19505494505494506
2,2.36,0.1978021978021978
2,2.37,0.20054945054945056
2,2.39,0.2032967032967033
2,2.39,0.20604395604395603
2,2.41,0.2087912087912088
2,2.42,0.21153846153846154
2,2.43,0.21428571428571427
2,2.45,0.21703296703296704
2,2.45,0.21978021978021978
2,2.46,0.22252747252747251
2,2.46,0.22527472527472528
2,2.47,0.22802197802197802
2,2.48,0.23076923076923078
2,2.48,0.23351648351648352
2,2.5,0.23626373626373626
2,2.51,0.23901098901098902
2,2.51,0.24175824175824176
2,2.53,0.2445054945054945
2,2.56,0.24725274725274726
2,2.57,0.25
2,2.58,0.25274725274725274
2,2.63,0.2554945054945055
2,2.65,0.25824175824175827
2,2.66,0.260989010989011
2,2.7,0.26373626373626374
2,2.71,0.2664835164835165
2,2.71,0.2692307692307692
2,2.73,0.27197802197802196
2,2.73,0.27472527472527475
2,2.75,0.2774725274725275
2,2.78,0.2802197802197802
2,2.81,0.28296703296703296
2,2.83,0.2857142857142857
2,2.83,0.28846153846153844
2,2.86,0.29120879120879123
2,2.87,0.29395604395604397
2,2.92,0.2967032967032967
2,2.93,0.29945054945054944
2,2.94,0.3021978021978022
2,2.94,0.30494505494505497
2,2.97,0.3076923076923077
2,3.02,0.31043956043956045
2,3.05,0.3131868131868132
2,3.05,0.3159340659340659
2,3.05,0.31868131868131866
2,3.08,0.32142857142857145
2,3.08,0.3241758241758242
2,3.1,0.3269230769230769
2,3.13,0.32967032967032966
2,3.15,0.3324175824175824
2,3.15,0.33516483516483514
2,3.16,0.33791208791208793
2,3.18,0.34065934065934067
2,3.2,0.3434065934065934
2,3.2,0.34615384615384615
2,3.22,0.3489010989010989
2,3.23,0.3516483516483517
2,3.25,0.3543956043956044
2,3.26,0.35714285714285715
2,3.29,0.3598901098901099
2,3.29,0.3626373626373626
2,3.3,0.36538461538461536
2,3.31,0.36813186813186816
2,3.33,0.3708791208791209
2,3.33,0.37362637362637363
2,3.34,0.37637362637362637
2,3.34,0.3791208791208791
2,3.39,0.38186813186813184
2,3.45,0.38461538461538464
2,3.47,0.3873626373626374
2,3.47,0.3901098901098901
2,3.47,0.39285714285714285
2,3.48,0.3956043956043956
2,3.48,0.3983516483516483
2,3.5,0.4010989010989011
2,3.5,0.40384615384615385
2,3.53,0.4065934065934066
2,3.55,0.40934065934065933
2,3.55,0.41208791208791207
2,3.57,0.41483516483516486
2,3.58,0.4175824175824176
2,3.58,0.42032967032967034
2,3.6,0.4230769230769231
2,3.63,0.4258241758241758
2,3.63,0.42857142857142855
2,3.64,0.43131868131868134
2,3.67,0.4340659340659341
2,3.67,0.4368131868131868
2,3.7,0.43956043956043955
2,3.72,0.4423076923076923
2,3.74,0.44505494505494503
2,3.75,0.4478021978021978
2,3.79,0.45054945054945056
2,3.79,0.4532967032967033
2,3.79,0.45604395604395603
2,3.81,0.45879120879120877
2,3.81,0.46153846153846156
2,3.84,0.4642857142857143
2,3.86,0.46703296703296704
2,3.93,0.4697802197802198
2,3.94,0.4725274725274725
2,3.94,0.47527472527472525
2,3.96,0.47802197802197804
2,4.04,0.4807692307692308
2,4.04,0.4835164835164835
2,4.07,0.48626373626373626
2,4.08,0.489010989010989
2,4.15,0.49175824175824173
2,4.18,0.4945054945054945
2,4.18,0.49725274725274726
2,4.19,0.5
2,4.19,0.5027472527472527
2,4.21,0.5054945054945055
2,4.22,0.5082417582417582
2,4.27,0.510989010989011
2,4.31,0.5137362637362637
